image,fly_duration,bearing,mapbox_layer_id,coordinates,description,zoom,pdf_url,title,extended_content,background_image,card_style,video_url,location,chapter_id,pitch,order,video_thumbnail_url,id,created_date,updated_date,created_by_id,created_by,is_sample
"https://base44.app/api/apps/693030a5e25aa73dea8d72c2/files/public/693030a5e25aa73dea8d72c2/bdd9e234b_playground-2.jpg","","0","","[18.546255366557133,-72.32447546043927]","<p>I<span style=""color: rgb(0, 0, 0);"">t is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout. The point of using Lorem Ipsum is that it has a more-or-less normal distribution of letters, as opposed to using 'Content here, content here', making it look like readable English. Many desktop publishing packages and web page editors now use Lorem Ipsum as their default model text, and a search for 'lorem ipsum' will uncover many web sites still in their infancy. Various versions have evolved over the years, sometimes by accident, sometimes on purpose (injected humour and the like).</span></p>","9.649064037306287","","Follow the video","<p><span style=""color: rgb(0, 0, 0);"">Many desktop publishing packages and web page editors now use Lorem Ipsum as their default model text, and a search for 'lorem ipsum' will uncover many web sites still in their infancy. Various versions have evolved over the years, sometimes by accident, sometimes on purpose (injected humour and the like).</span></p><p><span style=""color: rgb(0, 0, 0);""><span class=""ql-cursor"">﻿</span>Many desktop publishing packages and web page editors now use Lorem Ipsum as their default model text, and a search for 'lorem ipsum' will uncover many web sites still in their infancy. Various versions have evolved over the years, sometimes by accident, sometimes on purpose (injected humour and the like).</span></p>","","default","","","6996b01617415c55524ad573","0","1","","69a048aa4984e3f882d862cb","2026-02-26T13:20:42.585000","2026-02-26T13:35:27.384000","697c9a6d2dbf72948ae87e22","stevebutton@me.com","false"
"https://base44.app/api/apps/693030a5e25aa73dea8d72c2/files/public/693030a5e25aa73dea8d72c2/acfebb86a_school.jpg","","","","[0.1167,34.5]","Two boys at a desk capture the tactile reality of education. One is lost in the concentration of writing, while the other looks up, questioning the intrusion of the camera.","12","","The Work of Learning","The focus here is on the hands and the pencils—the physical labor of learning. One student is entirely absorbed, his head bowed as he records his thoughts, while his companion looks directly at us with a touch of skepticism. This look serves as a gentle reminder of the disruption a film crew brings to a place of study. The worn edges of the notebooks and the intensity of their grip tell a story of ambition and the seriousness with which these children approach their day. It’s an image that honors the work itself, and the small moments of interruption that define a visitor's presence.","","default","","Sauri Primary School, Siaya County","69a0295907597b9fbfd3d6fb","","3","","69a0295d2d5fad9dab3715ab","2026-02-26T11:07:09.116000","2026-02-26T11:09:43.993000","service_cc74bcb9-2e9c-4a79-9ff0-800b76bd8f8e","service+cc74bcb9-2e9c-4a79-9ff0-800b76bd8f8e@no-reply.base44.com","false"
"https://base44.app/api/apps/693030a5e25aa73dea8d72c2/files/public/693030a5e25aa73dea8d72c2/69582472c_school-4.jpg","","","","[0.1167,34.5]","Dressed in the deep blue of the school uniform, a young girl looks forward with a quiet, grounded confidence. She becomes an anchor point in the bustling environment of the classroom.","12","","Composure in Blue","In a room full of movement, she is remarkably still. The photographer’s choice to focus on her brings a sense of intimacy to a scene that could easily feel chaotic. Her expression is neither a performance of joy nor a signal of distress; it is simply a presence. This image moves past the 'documentary' goal of capturing children's issues and instead finds a specific, lived truth. The repetition of the blue sweaters in the background creates a rhythm, but her face remains the singular melody—a portrait of a girl who knows exactly where she stands.","","default","","Sauri Primary School, Siaya County","69a0295907597b9fbfd3d6fb","","2","","69a0295c0045dc7343d2c137","2026-02-26T11:07:08.314000","2026-02-26T11:09:43.879000","service_cc74bcb9-2e9c-4a79-9ff0-800b76bd8f8e","service+cc74bcb9-2e9c-4a79-9ff0-800b76bd8f8e@no-reply.base44.com","false"
"https://base44.app/api/apps/693030a5e25aa73dea8d72c2/files/public/693030a5e25aa73dea8d72c2/2eef5d7c3_school-3.jpg","","","","[0.1167,34.5]","Two boys meet the camera with a directness that feels like a challenge. Their expressions are unblinking, grounded in a self-assurance that demands to be seen on their own terms.","12","","The Weight of the Gaze","The relationship here is one of mutual observation. These children are not passive subjects being 'documented'; they are active participants in the encounter, choosing how to meet the lens. The boy on the right possesses a gaze that feels remarkably steady, while the shadow and light play across their faces to emphasize their physical presence in the small, crowded space. Behind them, a third boy smiles softly, offering a counterpoint of warmth to the foreground's intensity. It is an image about the dignity of being seen and the power of looking back.","","default","","Sauri Primary School, Siaya County","69a0295907597b9fbfd3d6fb","","1","","69a0295bed793ae0281ee603","2026-02-26T11:07:07.403000","2026-02-26T11:09:43.759000","service_cc74bcb9-2e9c-4a79-9ff0-800b76bd8f8e","service+cc74bcb9-2e9c-4a79-9ff0-800b76bd8f8e@no-reply.base44.com","false"
"https://base44.app/api/apps/693030a5e25aa73dea8d72c2/files/public/693030a5e25aa73dea8d72c2/82eaed90f_school-2.jpg","","","","[0.1167,34.5]","Amidst the hum of a busy classroom, one student breaks the rhythm of study. His gaze drifts sideways, caught in a moment of internal playfulness that suggests a world far beyond the lesson at hand.","12","","A Private Amusement","There is a delightful conspiracy in this boy’s expression. While his classmates are bowed over their work, he looks away with a subtle, knowing smile—perhaps reacting to the presence of the film crew, or perhaps to a thought entirely his own. The photographer has captured that fleeting transition between the discipline required of a student and the wandering, independent mind of a child. It is a portrait of personality surviving within a collective, reminding us that even in a crowded room, the interior life remains a private, unreachable territory.","","default","","Sauri Primary School, Siaya County","69a0295907597b9fbfd3d6fb","","0","","69a0295ac90facccbab799b2","2026-02-26T11:07:06.262000","2026-02-26T11:09:43.640000","service_cc74bcb9-2e9c-4a79-9ff0-800b76bd8f8e","service+cc74bcb9-2e9c-4a79-9ff0-800b76bd8f8e@no-reply.base44.com","false"
"https://base44.app/api/apps/693030a5e25aa73dea8d72c2/files/public/693030a5e25aa73dea8d72c2/97d294c4c_playground.jpg","","","","[0.1062,34.4534]","On the dusty playground of a school in Sauri, a visitor meets the steady gaze of his subjects. This is the moment of contact—a tangle of curiosity, expectation, and the awkward dance of cultural exchange that defines the documentary process.","12","","The Unspoken Exchange","The composition reveals a delicate balance of power and vulnerability. The man, with his hands clasped in a gesture of earnest communication, seems to be reaching across a gap that is more than just physical. The students, clustered together in their bright blue sweaters, respond with a variety of emotions: some watch with intense focus, one holds a plate as if caught mid-task, others look on with a reserve that speaks of many such visits. The camera stands back here, recording the scene as a piece of social theater. It captures the reality of the 'Millennium Village'—the meeting of global intentions and local lives. There is a sense of waiting in the air; the students wait to be seen or heard, while the visitors wait for the 'truth' they came to find. The truth, however, likely lies in the silent spaces between them, in the shared dust and the heat of the afternoon.","","default","","Sauri Millennium School Playground","69a029575d6db72227344445","","1","","69a02959472ba01875f5db82","2026-02-26T11:07:05.151000","2026-02-26T11:09:15.318000","service_cc74bcb9-2e9c-4a79-9ff0-800b76bd8f8e","service+cc74bcb9-2e9c-4a79-9ff0-800b76bd8f8e@no-reply.base44.com","false"
"https://base44.app/api/apps/693030a5e25aa73dea8d72c2/files/public/693030a5e25aa73dea8d72c2/0cf0a435d_playground-2.jpg","","","","[0.1062,34.4534]","A young student in Sauri gazes past the lens, her expression a mix of stoicism and quiet observation. In the bustling environment of a school visit, this moment of stillness offers a glimpse into an interior world that remains private, even under the scrutiny of a documentary crew.","12","","The Weight of the Gaze","There is a profound intimacy in being this close to someone who is looking elsewhere. The photographer has chosen to focus on the texture of her skin and the steady line of her mouth, bypassing the 'official' story of the school to find a singular, human truth. She is not performing for the camera; she is simply present. Behind her, the blur of blue uniforms and the dusty playground field suggest the collective life of the institution, but she stands out as an individual with her own thoughts and reservations. This image asks us to consider the person behind the 'subject' of a documentary—someone who is watching the watchers with just as much curiosity and perhaps a touch more discernment. It captures the quiet dignity of a child who is more than a statistic or a story element in someone else's narrative.","","default","","Sauri Millennium School","69a029575d6db72227344445","","0","","69a02958149eb86fa86d5e19","2026-02-26T11:07:04.399000","2026-02-26T11:09:15.143000","service_cc74bcb9-2e9c-4a79-9ff0-800b76bd8f8e","service+cc74bcb9-2e9c-4a79-9ff0-800b76bd8f8e@no-reply.base44.com","false"
"https://base44.app/api/apps/693030a5e25aa73dea8d72c2/files/public/693030a5e25aa73dea8d72c2/17392df33_lunch.jpg","","","","[0.1116,34.461]","Three boys sit in a row, their lunches spread before them, forming a temporary fraternity in the shade.","12","","The Log and the Lineup","There's a wonderful honesty in their varying expressions—the boy on the left mid-bite, the middle child holding his spoon like a scepter, and the third looking on with a steady, searching face. They are anchored by the weathered log behind them and the red soil beneath. This is the documentary truth: that even in a place of significant international focus, the daily reality is the shared meal, the dusty shoes, and the camaraderie of childhood. The image captures the psychological weight of growing up in the spotlight of a global initiative, yet their bond remains intensely private. The photographer’s choice to capture them from a slight distance allows their collective personality to fill the frame.","","default","","Sauri Millennium School, Kenya","69a02953161365a2df8b59cd","","3","","69a02957707243d38d0eafea","2026-02-26T11:07:03.501000","2026-02-26T11:08:52.029000","service_cc74bcb9-2e9c-4a79-9ff0-800b76bd8f8e","service+cc74bcb9-2e9c-4a79-9ff0-800b76bd8f8e@no-reply.base44.com","false"
"https://base44.app/api/apps/693030a5e25aa73dea8d72c2/files/public/693030a5e25aa73dea8d72c2/938f5ac2c_lunch-4.jpg","","","","[0.1113,34.4605]","A cameraman stoops to capture the ritual of the wash-bucket, highlighting the layers of storytelling that happen behind the scenes.","12","","The Observer Observed","We see the machinery of the documentary here—the heavy lens and the focused eye of the visitor—but the children seem remarkably unperturbed. Their attention is on the green bucket, the communal water, and the duty of the day. This photograph captures the friction and the friendship of the documentary process. It asks: what does it mean to be the one watching? The photographer who took this still image has stepped back, giving us a perspective on the perspective-takers, revealing the physical effort required to translate a life into a story. It highlights the psychological distance between the high-tech equipment and the simple, necessary act of washing a plate.","","default","","Sauri Millennium School, Kenya","69a02953161365a2df8b59cd","","2","","69a029565ef370c4d5c71fad","2026-02-26T11:07:02.449000","2026-02-26T11:08:51.909000","service_cc74bcb9-2e9c-4a79-9ff0-800b76bd8f8e","service+cc74bcb9-2e9c-4a79-9ff0-800b76bd8f8e@no-reply.base44.com","false"
"https://base44.app/api/apps/693030a5e25aa73dea8d72c2/files/public/693030a5e25aa73dea8d72c2/96efc2395_lunch-3.jpg","8","0","","[0.1118,34.4612]","Resting against the school's cool, painted floor, a child looks back at us with a gravity that belies his years.","14","","The Gaze of the Smallest","This image feels like a conversation. The boy, wrapped in a blue sweater with a hand-stitched bib, isn't just being observed; he is observing the photographer in return. There is a profound stillness here. His green bowl of githeri is held close, a personal treasure in a communal setting. The photographer has chosen to meet him on his level, literally and figuratively, capturing an interior world of patience and curiosity. It’s a portrait of solitude within a bustling school, a memory of a quiet moment carved out from the noise of the lunch hour. The intimacy suggests a high level of trust between the child and the visitor behind the lens.","","default","","Sauri Millennium School, Kenya","69a02953161365a2df8b59cd","0","1","","69a0295508e608bf580cde22","2026-02-26T11:07:01.623000","2026-02-26T11:15:43.233000","service_cc74bcb9-2e9c-4a79-9ff0-800b76bd8f8e","service+cc74bcb9-2e9c-4a79-9ff0-800b76bd8f8e@no-reply.base44.com","false"
